Death toll (estimate),Location,Date,Event,Disease,Link,Covid reference class,Did it become endemic?,"Was there a second, third, or fourth wave?/did it last more than one year?",Did it become endemic? (numeric),"Was there a second, third, or fourth wave?/did it last more than one year? (numerical)",Notes,,,,,,
Unknown,"Babylon, or Babirus of the  Persians, Central Asia, Mesopotamia and Southern Asia",1200 BC,influenza epidemic,Indian Sanskrit scholars found records of a disease resembling the Flu.,ø,,ø,ø,,,ø,,,,,,
"75,000–100,000","Greece, Libya, Egypt, Ethiopia",429–426 BC,Plague of Athens,"Unknown, possibly typhus, typhoid fever or viral hemorrhagic fever",https://en.wikipedia.org/wiki/Plague_of_Athens,Unclear,0,Yes,0,1,"In overcrowded Athens, the disease killed an estimated 25% of the population. The plague returned twice more, in 429 BC and in the winter of 427/426 BC.",,,,,,
Unknown,"Greece (Northern Greece, Roman Republic)",412 BC,412 BC epidemic,"Unknown, possibly influenza",https://en.wikipedia.org/wiki/412_BC_epidemic,Unclear,0,Yes,0,1,,,,,,,
5–10 million,Roman Empire,165–180 (possibly up to 190),Antonine Plague,"Unknown, possibly smallpox",https://en.wikipedia.org/wiki/Antonine_Plague,Unclear,0,Yes,0,1,,,,,,,
"1 million+ (Unknown, but at least)",Europe,250–266,Plague of Cyprian,"Unknown, possibly smallpox",https://en.wikipedia.org/wiki/Plague_of_Cyprian,Unclear,0,Yes,0,1,,,,,,,
25–100 million; 40–50% of population of Europe,Europe and West Asia,541–542,Plague of Justinian,Plague,https://en.wikipedia.org/wiki/Plague_of_Justinian,Unclear,0,Yes,0,1,,,,,,,
,British Isles,664–689,Plague of 664,Plague,https://en.wikipedia.org/wiki/Plague_of_664,Unclear,0,Yes,0,1,,,,,,,
,"Byzantine Empire, West Asia, Syria, Mesopotamia",698–701,Plague of 698–701,Plague,,,,,,,,,,,,,
2 million (Approx. ​1⁄3 of entire Japanese population),Japan,735–737,735–737 Japanese smallpox epidemic,Smallpox,https://en.wikipedia.org/wiki/735%E2%80%93737_Japanese_smallpox_epidemic,Unclear,Yes,Yes,1,1,,,,,,,
,"Byzantine Empire, West Asia, Africa",746–747,Plague of 746–747,Plague,,,,,,,,,,,,,
