Technology,Broad field,Size of (plausible) discontinuity,Big,Medium,Small,None,
aviation,Yes,Big,TRUE,FALSE,FALSE,FALSE,
ceramics,Yes,,FALSE,FALSE,FALSE,TRUE,
cryptography,Yes,Medium,FALSE,TRUE,FALSE,FALSE,
film,Yes,,FALSE,FALSE,FALSE,TRUE,
furniture,Yes,Small,FALSE,FALSE,TRUE,FALSE,
glass,Yes,Medium,FALSE,TRUE,FALSE,FALSE,
nuclear,Yes,Big,TRUE,FALSE,FALSE,FALSE,
petroleum,Yes,Big,TRUE,FALSE,FALSE,FALSE,
photography,Yes,,FALSE,FALSE,FALSE,TRUE,
printing,Yes,Big,TRUE,FALSE,FALSE,FALSE,
rail transport,Yes,Medium,FALSE,TRUE,FALSE,FALSE,
robotics,Yes,Small,FALSE,FALSE,TRUE,FALSE,
water supply and sanitation,Yes,Medium,FALSE,TRUE,FALSE,FALSE,
artificial life,Yes,,FALSE,FALSE,FALSE,TRUE,
bladed weapons,Yes,,FALSE,FALSE,FALSE,TRUE,
aluminium,Yes,Big,TRUE,FALSE,FALSE,FALSE,
automation,Yes,Medium,FALSE,TRUE,FALSE,FALSE,
perpetual motion machines,Yes,,FALSE,FALSE,FALSE,TRUE,
nanotechnology,Yes,,FALSE,FALSE,FALSE,TRUE,
timekeeping devices,Yes,Medium,FALSE,TRUE,FALSE,FALSE,
wind power,Yes,Small,FALSE,FALSE,TRUE,FALSE,
,,21,5,6,3,7,
,,,0.238095238095238,0.285714285714286,0.142857142857143,0.333333333333333,1
,,,,,,,
motorcycle,No,,FALSE,FALSE,FALSE,TRUE,
multitrack recording,No,Small,FALSE,FALSE,TRUE,FALSE,
Oscilloscope history,No,,FALSE,FALSE,FALSE,TRUE,
paper,No,Small,FALSE,FALSE,TRUE,FALSE,
polymerase chain reaction,No,Big,TRUE,FALSE,FALSE,FALSE,
portable gas stove,No,,FALSE,FALSE,FALSE,TRUE,
roller coaster,No,,FALSE,FALSE,FALSE,TRUE,
steam engine,No,Medium,FALSE,TRUE,FALSE,FALSE,
telescope,No,Small,FALSE,FALSE,TRUE,FALSE,
cycling,No,Small,FALSE,FALSE,TRUE,FALSE,
spaceflight,No,Big,TRUE,FALSE,FALSE,FALSE,
rockets,No,Big,TRUE,FALSE,FALSE,FALSE,
calendars,No,,FALSE,FALSE,FALSE,TRUE,
candle making,No,Small,FALSE,FALSE,TRUE,FALSE,
chromatography,No,,FALSE,FALSE,FALSE,TRUE,
condoms,No,,FALSE,FALSE,FALSE,TRUE,
diesel car,No,Big,TRUE,FALSE,FALSE,FALSE,
hearing aids,No,,FALSE,FALSE,FALSE,TRUE,
radar,No,Big,TRUE,FALSE,FALSE,FALSE,
radio,No,Big,TRUE,FALSE,FALSE,FALSE,
sound recording,No,Small,FALSE,FALSE,TRUE,FALSE,
submarines,No,Small,FALSE,FALSE,TRUE,FALSE,
television,No,Medium,FALSE,TRUE,FALSE,FALSE,
automobile,No,Big,TRUE,FALSE,FALSE,FALSE,
battery,No,Small,FALSE,FALSE,TRUE,FALSE,
telephone,No,,FALSE,FALSE,FALSE,TRUE,
transistor,No,Medium,FALSE,TRUE,FALSE,FALSE,
internal combustion engine,No,,FALSE,FALSE,FALSE,TRUE,
manufactured fuel gases,No,,FALSE,FALSE,FALSE,TRUE,
,,29,7,3,8,11,
,,,0.241379310344828,0.103448275862069,0.275862068965517,0.379310344827586,1
