,year,length,max_length2,SSGE
1,-240,110,110,Others
2,-239,0,110,Others
3,-238,0,110,Others
4,-237,0,110,Others
5,-236,0,110,Others
6,-235,0,110,Others
7,-234,0,110,Others
8,-233,0,110,Others
9,-232,0,110,Others
10,-231,0,110,Others
11,-230,0,110,Others
12,-229,0,110,Others
13,-228,0,110,Others
14,-227,0,110,Others
15,-226,0,110,Others
16,-225,0,110,Others
17,-224,0,110,Others
18,-223,0,110,Others
19,-222,0,110,Others
20,-221,0,110,Others
21,-220,0,110,Others
22,-219,0,110,Others
23,-218,0,110,Others
24,-217,0,110,Others
25,-216,0,110,Others
26,-215,0,110,Others
27,-214,0,110,Others
28,-213,0,110,Others
29,-212,0,110,Others
30,-211,0,110,Others
31,-210,0,110,Others
32,-209,0,110,Others
33,-208,0,110,Others
34,-207,0,110,Others
35,-206,0,110,Others
36,-205,0,110,Others
37,-204,0,110,Others
38,-203,0,110,Others
39,-202,0,110,Others
40,-201,0,110,Others
41,-200,115,115,Others
42,-199,0,115,Others
43,-198,0,115,Others
44,-197,0,115,Others
45,-196,0,115,Others
46,-195,0,115,Others
47,-194,0,115,Others
48,-193,0,115,Others
49,-192,0,115,Others
50,-191,0,115,Others
51,-190,0,115,Others
52,-189,0,115,Others
53,-188,0,115,Others
54,-187,0,115,Others
55,-186,0,115,Others
56,-185,0,115,Others
57,-184,0,115,Others
58,-183,0,115,Others
59,-182,0,115,Others
60,-181,0,115,Others
61,-180,0,115,Others
62,-179,0,115,Others
63,-178,0,115,Others
64,-177,0,115,Others
65,-176,0,115,Others
66,-175,0,115,Others
67,-174,0,115,Others
68,-173,0,115,Others
69,-172,0,115,Others
70,-171,0,115,Others
71,-170,0,115,Others
72,-169,0,115,Others
73,-168,0,115,Others
74,-167,0,115,Others
75,-166,0,115,Others
76,-165,0,115,Others
77,-164,0,115,Others
78,-163,0,115,Others
79,-162,0,115,Others
80,-161,0,115,Others
81,-160,0,115,Others
82,-159,0,115,Others
83,-158,0,115,Others
84,-157,0,115,Others
85,-156,0,115,Others
86,-155,0,115,Others
87,-154,0,115,Others
88,-153,0,115,Others
89,-152,0,115,Others
90,-151,0,115,Others
91,-150,0,115,Others
92,-149,0,115,Others
93,-148,0,115,Others
94,-147,0,115,Others
95,-146,0,115,Others
96,-145,0,115,Others
97,-144,0,115,Others
98,-143,0,115,Others
99,-142,0,115,Others
100,-141,0,115,Others
101,-140,0,115,Others
102,-139,0,115,Others
103,-138,0,115,Others
104,-137,0,115,Others
105,-136,0,115,Others
106,-135,0,115,Others
107,-134,0,115,Others
108,-133,0,115,Others
109,-132,0,115,Others
110,-131,0,115,Others
111,-130,0,115,Others
112,-129,0,115,Others
113,-128,0,115,Others
114,-127,0,115,Others
115,-126,0,115,Others
116,-125,0,115,Others
117,-124,0,115,Others
118,-123,0,115,Others
119,-122,0,115,Others
120,-121,0,115,Others
121,-120,0,115,Others
122,-119,0,115,Others
123,-118,0,115,Others
124,-117,0,115,Others
125,-116,0,115,Others
126,-115,0,115,Others
127,-114,0,115,Others
128,-113,0,115,Others
129,-112,0,115,Others
130,-111,0,115,Others
131,-110,0,115,Others
132,-109,0,115,Others
133,-108,0,115,Others
134,-107,0,115,Others
135,-106,0,115,Others
136,-105,0,115,Others
137,-104,0,115,Others
138,-103,0,115,Others
139,-102,0,115,Others
140,-101,0,115,Others
141,-100,0,115,Others
142,-99,0,115,Others
143,-98,0,115,Others
144,-97,0,115,Others
145,-96,0,115,Others
146,-95,0,115,Others
147,-94,0,115,Others
148,-93,0,115,Others
149,-92,0,115,Others
150,-91,0,115,Others
151,-90,0,115,Others
152,-89,0,115,Others
153,-88,0,115,Others
154,-87,0,115,Others
155,-86,0,115,Others
156,-85,0,115,Others
157,-84,0,115,Others
158,-83,0,115,Others
159,-82,0,115,Others
160,-81,0,115,Others
161,-80,0,115,Others
162,-79,0,115,Others
163,-78,0,115,Others
164,-77,0,115,Others
165,-76,0,115,Others
166,-75,0,115,Others
167,-74,0,115,Others
168,-73,0,115,Others
169,-72,0,115,Others
170,-71,0,115,Others
171,-70,0,115,Others
172,-69,0,115,Others
173,-68,0,115,Others
174,-67,0,115,Others
175,-66,0,115,Others
176,-65,0,115,Others
177,-64,0,115,Others
178,-63,0,115,Others
179,-62,0,115,Others
180,-61,0,115,Others
181,-60,0,115,Others
182,-59,0,115,Others
183,-58,0,115,Others
184,-57,0,115,Others
185,-56,0,115,Others
186,-55,0,115,Others
187,-54,0,115,Others
188,-53,0,115,Others
189,-52,0,115,Others
190,-51,0,115,Others
191,-50,0,115,Others
192,-49,0,115,Others
193,-48,0,115,Others
194,-47,0,115,Others
195,-46,0,115,Others
196,-45,0,115,Others
197,-44,0,115,Others
198,-43,0,115,Others
199,-42,0,115,Others
200,-41,0,115,Others
201,-40,0,115,Others
202,-39,0,115,Others
203,-38,0,115,Others
204,-37,0,115,Others
205,-36,0,115,Others
206,-35,0,115,Others
207,-34,0,115,Others
208,-33,0,115,Others
209,-32,0,115,Others
210,-31,0,115,Others
211,-30,0,115,Others
212,-29,0,115,Others
213,-28,0,115,Others
214,-27,0,115,Others
215,-26,0,115,Others
216,-25,0,115,Others
217,-24,0,115,Others
218,-23,0,115,Others
219,-22,0,115,Others
220,-21,0,115,Others
221,-20,0,115,Others
222,-19,0,115,Others
223,-18,0,115,Others
224,-17,0,115,Others
225,-16,0,115,Others
226,-15,0,115,Others
227,-14,0,115,Others
228,-13,0,115,Others
229,-12,0,115,Others
