Name,Community,Change in the World,Changed Laws,Did it want to change laws,Popularity,Bias.
9/11 Truth movement,1,0,0,0,1,0
Anti-consumerism,1,0,0,1,1,1
Anti-jock movement,0,0,0,0,0,0
Anti-psychiatry,1,1,1,2,1,2
Anti-vaccination,2,0,1,2,1,0
BLM,2,1,0,1,1,1
Cooperative Movement,2,1,0,2,0,1
Effective Altruism,2,1,0,0,0,2
Farm Worker Movement,0,2,2,2,2,0
India against Corruption,0,1,1,2,1,1
Indigenous peoples movement,0,0,1,2,0,1
Mad pride,2,0,0,2,0,2
Nonviolence,1,2,2,2,1,2
Occupy Wall Street,2,0,0,2,1,2
Organic Movement,1,1,2,2,1,0
Psychiatry survivors movement,2,0,0,2,0,1
Right to life,2,1,1,2,1,1
Rural People's Movement,1,0,0,2,0,1
Sex-positive movement,1,1,1,1,1,2
Situationist International,2,0,0,0,0,1
Student Activism,2,2,1,2,1,2
Temperance movement,1,1,0,2,1,2
Umbrella Movement,2,0,0,2,1,2
Vía Campesina,1,1,0,0,1,2
Wikimedia Movement,2,2,0,0,0,2
,"1,32","0,72","0,52","1,4","0,68","1,24"
